INT2038;Quản lý dự án HTTT;Information System Project Management;3;45;;;
INT3202;Hệ quản trị cơ sở dữ liệu;Database Management Systems;3;30;15;;INT2207
INT3211;Tích hợp hệ thống;System Integration;3;45;;;INT3201
INT3220;Các chủ đề hiện đại của HTTT;Advanced topics in Information Systems;3;45;;;INT3201
INT4001;Thực tập tốt nghiệp;Graduation Internship;3;15;30;;INT3220
INT3110;Phân tích và thiết kế hướng đối tượng;Object-oriented Analysis and Design;3;45;;;INT2204
INT3507;Các vấn đề hiện đại Công nghệ thông tin;Advanced Topics in Information Technology;3;21;24;;INT1003
INT3508;Thực tập chuyên ngành;Professional Internship;3;15;30;;INT1003
INT3402;Chương trình dịch;Compilers;3;45;;;INT2203
INT3404;Xử lý ảnh ;Image Processing;3;45;;;INT2203
INT3405;Học máy;Machine Learning;3;45;;;MAT1101
INT3406;Xử lý ngôn ngữ tự nhiên;Natural Language Processing;3;45;;;INT2203
INT3407;Tin sinh học;Bioinformatics;3;45;;;INT2202
INT3409;Rô-bốt;Robotics;3;30;15;;INT2203
INT3411;Xử lý tiếng nói;Speech Processing;3;45;;;INT2203
INT3412;Thị giác máy;Computer Vision;3;45;;;INT2203
INT3413;Web ngữ nghĩa;Semantic Web;3;45;;;INT2203
INT3512;Lập trình thi đấu;Competitive Programming;3;30;15;;
INT3513;Phân tích và thiết kế thuật toán - Ứng dụng trong di động;Design and Analysis of Algorithms – Mobile Application;3;30;15;;INT1006
INT3123;Các thuật toán đồ thị và ứng dụng;Graph algorithms and applications;3;45;0;;INT1006
INT3011;Các vấn đề hiện đại trong  KHMT;Advanced topics in Computer Science;3;21;24;;INT1003
ELT3067;Truyền thông quang;Optical Communications;3;45;;;PHY1103
ELT3057;Truyền thông số và mã hóa;Digital communications and Coding ;3;45;;;ELT2035 /ELT3043
ELT3098;Truyền thông vệ tinh;Satellite Communication;3;45;;;ELT3057
ELT3163;Mạng truyền thông di động;Mobile Communication Systems;3;45;;;INT2209
ELT3062;Mạng truyền thông máy tính 2;Networks and Computer Communications 2;3;45;;;INT2209
ELT3056;Truyền thông vô tuyến;Wireless Communications;3;45;;;ELT2035 /ELT3043
INT3305;Truyền thông đa phương tiện;Multimedia Communications;3;45;0;;INT2209
INT3310;Quản trị mạng;Network Administration;3;30;15;;INT2209
INT3304;Lập trình mạng;Network programming ;3;30;15;;INT2209
INT3308;Đánh giá hiệu năng mạng;Network Performance Evaluation;3;42;3;;INT2209
INT3309;Phân tích và thiết kế mạng máy tính;Analysis and Design of Computer Networks;3;24;6;15;INT2209
INT3124;Các giải thuật phân tán;Distributed algorithms;3;45;;;INT2209
INT3317;Thực hành an ninh mạng;Network security lab;3;15;30;;INT2209
INT3301;Thực hành hệ điều hành mạng ;Network operating system lab ;3;15;30;;INT2206
INT3318;Các thiết bị mạng và môi trường truyền;Network Devices and Transmission Media;3;30;15;;INT2209
INT3216;Phân tích, đánh giá hiệu năng hệ thống máy tính;Computer System Evaluation and Analysis;3;45;;;
INT3212;Xử lý dữ liệu thống kê;Statistical data processing;3;45;;;MAT1101
INT3126;Xử lý phân tích thông tin trực tuyến;Online Analytical Processing;3;45;;;INT2207
INT3073;Nhận dạng mẫu;Pattern recognition;3;45;;;
INT3210;Khai phá dữ liệu hướng lĩnh vực;Domain Oriented Data Mining;3;45;;;INT3209
INT3075;Học máy thống kê;Statistical Machine Learning;3;45;;;INT2203
INT3214;Hệ thống đảm bảo an toàn thông tin;Information Security/Safety systems;3;45;;;INT3213
INT3215;Các hệ thống lưu trữ lớn;Mass storage systems;2;45;;;INT2207
INT3505;Kiến trúc hướng dịch vụ;Service-oriented Architectures;3;45;;;INT2204
INT3506;Các hệ thống thương mại điện tử;E-commerce Systems;3;45;;;INT1003
INT3206;Cơ sở dữ liệu phân tán;Distributed Databases;3;45;;;INT2207
INT3127;Cơ sở dữ liệu không gian-thời gian;Spatio-temporal databases;3;45;;;INT2207
INT3222;Cơ sở dữ liệu đa phương tiện;Multimedia databases;3;45;;;INT2207
INT2041;Tương tác người-máy;Human-Computer Interaction;3;45;;;
INT3501;Khoa học dịch vụ;Service Sciences;3;45;;;INT1003
INT3217;Lập trình hệ thống;System Programing;3;36;9;;INT2206
MAT1099;Phương pháp tính;Numerical Methods;2;30;;;MAT1093
INE1151;Kinh tế vĩ mô 1;Macro Economics 1;3;30;10;5;
JAP2003;Đất nước học Nhật Bản 1;Introduction to Japanese Studies 1;3;30;9;6;
INT3108;Lập trình nhúng và thời gian thực ;Real-time and Embedded Programming;3;30;15;;INT2205; INT2202
INT3122;Ứng dụng di động cho điện toán đám mây;Mobile Cloud Computing;3;45;;;INT2204
INT3111;Quản lý dự án phần mềm;Software Project Management;3;45;;;INT2208
INT3209;Khai phá dữ liệu;Data Mining;3;45;;;INT2207
INT3306;Phát triển ứng dụng Web;Web Application Development;3;30;15;;INT2204; INT2207
INT3121;Các chuyên đề trong KHMT ;Special Problems in Computer Science;3;21;0;24;INT2203; INT1101
