StudentID,Class_name,BirthDate,Gender,PHI1004,PHI1005,POL1001,HIS1002,INT1003,INT1006,FLF1105,FLF1106,FLF1107,MAT1093,MAT1094,MAT1095,PHY1100,PHY1103,ELT2035,INT2203,MAT1101,ELT2029,INT1050,INT2204,INT2205,INT2206,INT2209,INT2207,INT2208,INT2202,INT3202,INT3110,INT3306,INT3115,INT3507,MAT1099,MAT1100,ELT2028,ELT2031,ELT3044,BSA2022,INE1150,INE1151,INT3117,INT3105,INT3106,INT3108,INT3109,INT3111,INT3206,INT3207,INT3209,INT3213,INT3216,INT3217,INT3301,INT3303,INT3304,INT3305,INT3307,INT3309,INT3310,INT3501,INT3505,INT3506,INT3401,INT3403,INT3404,INT3407,INT3508,INT4050,INT3509,INT2201,INT3405,INT3402,INT3211,INT2020,INT2009,INT3212,INT3061,MAT1089,INT3221
trieudh_58,QH-2013-I/CQ-C-B,ﾠ23/10/1995,Nam,6.5, , , ,4.2,3.4-1.8,3.5,4.9,0.9,3.3,6,5.8,6.8,6.9, ,1.7, , , ,3.4,6.4, , , , ,8.8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
thuongdv_58,QH-2013-I/CQ-C-B,ﾠ23/10/1995,Nam,6.5, , , ,4.2,3.4-1.8,3.5,4.9,0.9,3.3,6,5.8,6.8,6.9, ,1.7, , , ,3.4,6.4, , , , ,8.8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
13020002,QH-2013-I/CQ-C-B,ﾠ23/10/1995,Nam,6.5, , , ,4.2,3.4-1.8,3.5,4.9,0.9,3.3,6,5.8,6.8,6.9, ,1.7, , , ,3.4,6.4, , , , ,8.8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
13020008,QH-2013-I/CQ-C-B,ﾠ23/02/1995,Nam,6.3, , , ,6.2,7.8,5.3,7.1,6.7,3.5,5.8,8.2,5.9,6.9, ,7.9, , , ,4,9.9, , , , ,8.5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
13020012,QH-2013-I/CQ-C-B,ﾠ18/10/1995,N?,6.2, , , ,6.9,4.8,6.1,6.7, ,7.3,5,7.4,4.1,8.4, ,5.7, , , ,6.7,8.6, , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
13020053,QH-2013-I/CQ-C-B,ﾠ21/04/1995,Nam,5.4, , , ,4.9,4.2-8.8,4.5,5.3,4.5,6,7.3,6.2,5.8,6.9, ,6.3, , , ,5.5,10, , , , ,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
13020063,QH-2013-I/CQ-C-B,ﾠ10/04/1995,N?,4.7, , , ,7.2,4.6,5.3,6.2,4.7,5.8,7.1,7,3.2-5,6.4, ,4.9, , , ,3.1,6.9, , , , ,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,̦
