StudentID,Class_name,BirthDate,Gender,PHI1004,PHI1005,POL1001,HIS1002,INT1003,INT1006,FLF1105,FLF1106,FLF1107,MAT1093,MAT1094,MAT1095,PHY1100,PHY1103,ELT2035,INT2203,MAT1101,ELT2029,INT1050,INT2204,INT2205,INT2206,INT2209,INT2207,INT2208,INT2202,INT3202,INT3110,INT3306,INT3115,INT3507,MAT1099,MAT1100,ELT2028,ELT2031,ELT3044,BSA2022,INE1150,INE1151,INT3117,INT3105,INT3106,INT3108,INT3109,INT3111,INT3206,INT3207,INT3209,INT3213,INT3216,INT3217,INT3301,INT3303,INT3304,INT3305,INT3307,INT3309,INT3310,INT3501,INT3505,INT3506,INT3401,INT3403,INT3404,INT3407,INT3508,INT4050,INT3509,INT2201,INT3405,INT3402,INT3211,INT2020,INT2009,INT3212,INT3061,MAT1089,INT3221
trieudh_58,QH-2013-I/CQ-C-B,�23/10/1995,Nam,1.2014-2015, , , ,1.2013-2014,1.2013-2014-2.2013-2014,1.2013-2014,2.2013-2014,1.2014-2015,2.2013-2014,1.2013-2014,2.2013-2014,1.2013-2014,1.2014-2015, ,1.2014-2015, , , ,1.2014-2015,1.2014-2015, , , , ,2.2013-2014, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
thuongdv_58,QH-2013-I/CQ-C-B,�23/10/1995,Nam,1.2014-2015, , , ,1.2013-2014,1.2013-2014-2.2013-2014,1.2013-2014,2.2013-2014,1.2014-2015,2.2013-2014,1.2013-2014,2.2013-2014,1.2013-2014,1.2014-2015, ,1.2014-2015, , , ,1.2014-2015,1.2014-2015, , , , ,2.2013-2014, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
13020002,QH-2013-I/CQ-C-B,�23/10/1995,Nam,1.2014-2015, , , ,1.2013-2014,1.2013-2014-2.2013-2014,1.2013-2014,2.2013-2014,1.2014-2015,2.2013-2014,1.2013-2014,2.2013-2014,1.2013-2014,1.2014-2015, ,1.2014-2015, , , ,1.2014-2015,1.2014-2015, , , , ,2.2013-2014, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
13020008,QH-2013-I/CQ-C-B,�23/02/1995,Nam,1.2014-2015, , , ,1.2013-2014,1.2013-2014,1.2013-2014,2.2013-2014,1.2014-2015,2.2013-2014,1.2013-2014,2.2013-2014,1.2013-2014,1.2014-2015, ,1.2014-2015, , , ,1.2014-2015,1.2014-2015, , , , ,2.2013-2014, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
13020012,QH-2013-I/CQ-C-B,�18/10/1995,N?,1.2014-2015, , , ,1.2013-2014,1.2013-2014,1.2013-2014,2.2013-2014, ,2.2013-2014,1.2013-2014,2.2013-2014,1.2013-2014,1.2014-2015, ,1.2014-2015, , , ,1.2014-2015,1.2014-2015, , , , ,2.2013-2014, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
13020053,QH-2013-I/CQ-C-B,�21/04/1995,Nam,1.2014-2015, , , ,1.2013-2014,1.2013-2014-1.2014-2015,1.2013-2014,2.2013-2014,1.2014-2015,2.2013-2014,1.2013-2014,2.2013-2014,1.2013-2014,1.2014-2015, ,1.2014-2015, , , ,1.2014-2015,1.2014-2015, , , , ,2.2013-2014, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2013-201
13020063,QH-2013-I/CQ-C-B,�10/04/1995,N?,1.2014-2015, , , ,1.2013-2014,1.2013-2014,1.2013-2014,2.2013-2014,1.2014-2015,2.2013-2014,1.2013-2014,2.2013-2014,1.2013-2014-1.2014-2015,1.2014-2015, ,1.2014-2015, , , ,1.2014-2015,1.2014-2015, , , , ,2.2013-2014, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
