MAT1101,22,0,3
INT3409,41,0,3
INT3413,44,0,3
INT3512,45,0,3
INT3513,46,0,3
INT3117,48,0,3
INT3105,49,0,3
INT3111,52,0,3
MAT1099,63,0,2
ELT3044,67,0,3
INT1003,5,0,2
ELT2035,20,0,3
INT2207,30,0,3
INT3401,32,0,3
INT3403,33,0,3
INT2044,34,MAT1101,3
INT3414,35,INT1003,3
INT3508,71,INT1003,3
INT4050,72,0,10
